G1;G2;G3;G4;y;Sala
-49;-47;-71;-65;5;Sala
-50;-47;-70;-64;5;Sala
-50;-47;-70;-64;5;Sala
-49;-47;-69;-64;5;Sala
-49;-47;-69;-64;5;Sala
-50;-48;-69;-68;5;Sala
-50;-48;-69;-68;5;Sala
-50;-48;-69;-68;5;Sala
-49;-48;-67;-71;5;Sala
-49;-47;-67;-70;5;Sala
-55;-48;-67;-65;5;Sala
-55;-48;-71;-65;5;Sala
-55;-47;-71;-67;5;Sala
-55;-47;-70;-67;5;Sala
-54;-47;-69;-66;5;Sala
-54;-48;-69;-66;5;Sala
-54;-48;-70;-66;5;Sala
-54;-47;-70;-65;5;Sala
-57;-47;-70;-62;5;Sala
-57;-47;-70;-62;5;Sala
-56;-47;-70;-67;5;Sala
-56;-47;-68;-73;5;Sala
-57;-48;-67;-71;5;Sala
-57;-48;-70;-71;5;Sala
-56;-48;-70;-63;5;Sala
-56;-47;-71;-66;5;Sala
-56;-47;-71;-65;5;Sala
-56;-49;-70;-66;5;Sala
